Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Src IP
443,6,2018-02-28 01:00:09,226,3,0,31,0,31,0,10.3333333333,17.8978583449,0,0,0,0,137168.14159292,13274.3362831858,113,107.4802307404,189,37,226,113,107.4802307404,189,37,0,0,0,0,0,0,0,0,0,60,0,13274.3362831858,0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.3333333333,10.3333333333,0,0,0,0,0,0,0,3,31,0,0,255,-1,1,20,0,0,0,0,0,0,0,0,Benign,Network
445,6,2018-02-28 01:00:31,263025,3,1,0,0,0,0,0,0,0,0,0,0,0,15.2076798783,87675,151790.87548005,262948,0,263025,131512.5,185986.761121592,263025,0,0,0,0,0,0,0,0,0,0,72,32,11.4057599088,3.8019199696,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0,0,0,0,0,0,0,0,Benign,Network
443,6,2018-02-28 01:00:39,91433,8,8,1818,3898,1078,0,227.25,360.6243593706,1460,0,487.25,639.5062269327,62515.7218947207,174.9915238481,6095.5333333333,9992.1644149423,23520,7,69777,9968.1428571429,11923.0061985023,23547,54,69938,9991.1428571429,12358.5892996001,23956,20,0,0,0,0,172,172,87.495761924,87.495761924,0,1460,336.2352941176,510.1254171049,260227.941176471,0,0,1,1,0,0,0,1,1,357.25,227.25,487.25,0,0,0,0,0,0,8,1818,8,3898,8192,8046,5,20,0,0,0,0,0,0,0,0,Benign,Network
443,6,2018-02-28 01:00:39,149,2,0,0,0,0,0,0,0,0,0,0,0,0,13422.8187919463,149,0,149,149,149,149,0,149,149,0,0,0,0,0,0,0,0,0,40,0,13422.8187919463,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0,0,0,0,0,0,0,0,Benign,Network
443,6,2018-02-28 01:00:44,21232808,6,8,708,3695,387,0,118,159.2846508613,1460,0,461.875,652.7494460248,207.367767843,0.6593569725,1633292.92307692,5824211.93390225,21017250,1,140472,28094.4,25016.5692152221,47405,264,21188275,3026896.42857143,7933056.65954391,21017250,1,0,0,0,0,132,172,0.2825815596,0.3767754128,0,1460,293.5333333333,507.5976847108,257655.409523809,0,0,1,1,0,0,0,1,1,314.5,118,461.875,0,0,0,0,0,0,6,708,8,3695,8192,7484,3,20,215377,0,215377,215377,21017250,0,21017250,21017250,Benign,Network
445,6,2018-02-28 01:00:53,314630,5,4,286,170,103,0,57.2,52.4852360193,131,0,42.5,61.7980582219,1449.3214251661,28.6050281283,39328.75,53617.5611443809,104666,32,314591,78647.75,51120.064347736,104954,1972,314598,104866,981.9231130796,105902,103949,0,0,0,0,112,92,15.8916822935,12.7133458348,0,131,45.6,52.9846938066,2807.3777777778,0,0,0,1,0,0,0,0,0,50.6666666667,57.2,42.5,0,0,0,0,0,0,5,286,4,170,8192,0,3,20,0,0,0,0,0,0,0,0,Benign,Network
445,6,2018-02-28 01:00:57,327381,5,4,373,172,140,0,74.6,70.2837107728,133,0,43,62.7534859589,1664.7270305852,27.4909050922,40922.625,55844.4051039199,109312,44,327326,81831.5,53165.8300822373,109356,2095,327329,109109.666666667,357.0466822887,109391,108708,0,0,0,0,112,92,15.2727250512,12.218180041,0,140,54.5,64.1980442762,4121.3888888889,0,0,0,1,0,0,0,0,0,60.5555555556,74.6,43,0,0,0,0,0,0,5,373,4,172,8192,0,3,20,0,0,0,0,0,0,0,0,Benign,Network
443,6,2018-02-28 01:01:03,91398,8,8,1818,3898,1078,0,227.25,360.6243593706,1460,0,487.25,639.5062269327,62539.6616993807,175.0585351977,6093.2,10034.8556911825,23275,0,69864,9980.5714285714,11969.7555092985,23296,57,69584,9940.5714285714,12365.197354634,23645,0,0,0,0,0,172,172,87.5292675989,87.5292675989,0,1460,336.2352941176,510.1254171049,260227.941176471,0,0,1,1,0,0,0,1,1,357.25,227.25,487.25,0,0,0,0,0,0,8,1818,8,3898,8192,8192,5,20,0,0,0,0,0,0,0,0,Benign,Network
443,6,2018-02-28 01:01:03,113,2,0,0,0,0,0,0,0,0,0,0,0,0,17699.1150442478,113,0,113,113,113,113,0,113,113,0,0,0,0,0,0,0,0,0,40,0,17699.1150442478,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0,0,0,0,0,0,0,0,Benign,Network
443,6,2018-02-28 01:01:04,135,2,0,0,0,0,0,0,0,0,0,0,0,0,14814.8148148148,135,0,135,135,135,135,0,135,135,0,0,0,0,0,0,0,0,0,40,0,14814.8148148148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,257,-1,0,20,0,0,0,0,0,0,0,0,Benign,Network
443,6,2018-02-28 01:01:04,560898,11,12,2017,4436,1078,0,183.3636363636,315.1752759108,1460,0,369.6666666667,539.4206207225,11504.7655723501,41.0056730457,25495.3636363636,81763.2847248955,386045,1,174712,17471.2,23958.0455092276,78380,48,539184,49016.7272727273,131098.340305353,442806,1,0,0,0,0,232,252,19.611408848,21.3942641978,0,1460,268.875,440.7853971088,194291.766304348,0,0,1,1,0,0,0,1,1,280.5652173913,183.3636363636,369.6666666667,0,0,0,0,0,0,11,2017,12,4436,8192,8002,6,20,0,0,0,0,0,0,0,0,Benign,Network
53,17,2018-02-28 01:01:05,255867,2,2,80,292,40,40,40,0,146,146,146,0,1453.8803362685,15.6331218954,85289,134006.265439344,239746,1,16120,16120,0,16120,16120,1,1,0,1,1,0,0,0,0,16,16,7.8165609477,7.8165609477,40,146,82.4,58.0585910955,3370.8,0,0,0,0,0,0,0,0,1,103,40,146,0,0,0,0,0,0,2,80,2,292,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign,Network
53,17,2018-02-28 01:01:10,19586,2,2,98,130,49,49,49,0,65,65,65,0,11640.9680383948,204.2275094455,6528.6666666667,9868.2144450419,17881,1,17881,17881,0,17881,17881,1,1,0,1,1,0,0,0,0,16,16,102.1137547228,102.1137547228,49,65,55.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,69.25,49,65,0,0,0,0,0,0,2,98,2,130,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign,Network
443,6,2018-02-28 01:01:10,5732247,11,12,2017,4433,1078,0,183.3636363636,315.1752759108,1460,0,369.4166666667,539.5116408439,1125.213201734,4.0123881612,260556.681818182,1180792.91320816,5546755,1,185491,18549.1,26635.5397394367,87655,46,5710507,519137,1689296.81096496,5612443,1,0,0,0,0,232,252,1.918968251,2.0934199102,0,1460,268.75,440.8088662014,194312.456521739,0,0,1,1,0,0,0,1,1,280.4347826087,183.3636363636,369.4166666667,0,0,0,0,0,0,11,2017,12,4433,8192,7856,6,20,185491,0,185491,185491,5546755,0,5546755,5546755,Benign,Network
