Timestamp,Src IP,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,SYN Flag Cnt,ACK Flag Cnt,RST Flag Cnt,PSH Flag Cnt,FIN Flag Cnt,URG Flag Cnt,Down/Up Ratio,Label
2026-01-15 09:00:00,192.168.1.25,8.8.8.8,53,17,0.12,2,2,120,180,2500,33.3,0.04,0.01,0,0,0,0,0,0,1.5,Benign
2026-01-15 09:00:10,192.168.1.25,192.168.1.100,80,6,0.32,5,4,620,1380,6250,28.1,0.05,0.02,1,3,0,1,0,0,2.2,Benign
2026-01-15 09:00:20,192.168.1.25,8.8.8.8,53,17,0.10,2,2,118,176,2940,40.0,0.03,0.01,0,0,0,0,0,0,1.5,Benign
2026-01-15 09:00:30,192.168.1.25,192.168.1.100,443,6,0.45,7,6,1840,5400,16088,28.9,0.06,0.02,1,5,0,2,0,0,2.9,Benign
2026-01-15 09:00:40,192.168.1.25,8.8.8.8,53,17,0.11,2,2,122,184,2781,36.4,0.04,0.01,0,0,0,0,0,0,1.5,Benign
2026-01-15 09:00:50,198.51.100.15,192.168.1.100,21,6,0.02,1,1,60,40,5000,100.0,0.01,0.00,1,0,1,0,0,0,0.7,PortScan
2026-01-15 09:01:00,198.51.100.15,192.168.1.100,22,6,0.02,1,1,60,40,5000,100.0,0.01,0.00,1,0,1,0,0,0,0.7,PortScan
2026-01-15 09:01:10,198.51.100.15,192.168.1.100,80,6,0.03,1,1,60,44,3466,66.7,0.01,0.00,1,0,0,0,0,0,0.7,PortScan
2026-01-15 09:01:20,198.51.100.15,192.168.1.100,443,6,0.03,1,1,60,44,3466,66.7,0.01,0.00,1,0,0,0,0,0,0.7,PortScan
2026-01-15 09:01:30,198.51.100.15,192.168.1.100,445,6,0.02,1,1,60,40,5000,100.0,0.01,0.00,1,0,1,0,0,0,0.7,PortScan
2026-01-15 09:01:40,198.51.100.15,192.168.1.100,80,6,0.15,6,4,980,420,9333,66.7,0.02,0.01,1,3,0,3,0,0,0.4,Brute Force -Web
2026-01-15 09:01:50,198.51.100.15,192.168.1.100,80,6,0.18,8,5,1280,510,9944,72.2,0.02,0.01,1,4,0,4,0,0,0.4,Brute Force -Web
2026-01-15 09:02:00,198.51.100.15,192.168.1.100,80,6,0.21,10,6,1600,630,10619,76.2,0.02,0.01,1,5,0,5,0,0,0.4,SQL Injection
2026-01-15 09:02:10,198.51.100.15,192.168.1.100,80,6,0.22,11,6,1880,650,11500,77.3,0.02,0.01,1,5,0,6,0,0,0.3,SQL Injection
2026-01-15 09:02:20,192.168.1.100,10.0.0.50,445,6,0.40,12,8,8200,960,22900,50.0,0.03,0.02,1,7,0,7,0,0,0.1,Infiltration
2026-01-15 09:02:30,192.168.1.100,10.0.0.50,445,6,0.44,14,9,10400,1080,26090,52.3,0.03,0.02,1,8,0,9,0,0,0.1,Infiltration
2026-01-15 09:02:40,192.168.1.100,10.0.0.50,3389,6,0.36,10,7,6800,840,21222,47.2,0.03,0.02,1,6,0,6,0,0,0.1,Infiltration
2026-01-15 09:02:50,192.168.1.100,203.0.113.88,443,6,0.60,18,8,24800,720,42533,43.3,0.03,0.01,1,7,0,12,0,0,0.0,Bot
2026-01-15 09:03:00,192.168.1.100,203.0.113.88,443,6,0.65,20,8,28600,760,45292,43.1,0.03,0.01,1,7,0,14,0,0,0.0,Bot
2026-01-15 09:03:10,192.168.1.100,203.0.113.88,443,6,0.72,22,9,32800,820,46700,43.1,0.03,0.01,1,8,0,16,0,0,0.0,Bot
2026-01-15 09:03:20,192.168.1.100,203.0.113.88,443,6,0.78,24,9,38200,860,50100,42.3,0.03,0.01,1,8,0,18,0,0,0.0,Bot
2026-01-15 09:03:30,192.168.1.100,203.0.113.88,443,6,0.84,26,10,45600,920,55499,42.9,0.03,0.01,1,9,0,20,0,0,0.0,Bot
2026-01-15 09:03:40,192.168.1.100,203.0.113.88,443,6,0.95,30,11,62000,1050,66368,43.2,0.03,0.01,1,10,0,24,0,0,0.0,Bot
